id_categorie,categorie,champ,description,type_champ,libelle_type,options_valeurs,seuil_reference,source,impact_valeur
1,Identification et Statut Juridique,Adresse complète,"Numéro, rue, code postal, ville, bâtiment, étage, numéro de porte",TEXT,Texte libre,,,Acte de propriété,
1,Identification et Statut Juridique,Référence cadastrale,Département / Commune / Préfixe / Section / Numéro de parcelle,TEXT,Texte libre,,,Cadastre.gouv.fr,
1,Identification et Statut Juridique,Type de bien,Appartement / Maison individuelle / Villa / Studio / Duplex / Loft / Terrain / Local commercial,SEL,Liste de choix,Appartement;Maison individuelle;Villa;Studio;Duplex;Loft;Terrain;Local commercial;Autre,,Titre de propriété,Base de valorisation
1,Identification et Statut Juridique,Régime de propriété,Pleine propriété / Copropriété / Indivision / SCI / Bail emphytéotique,SEL,Liste de choix,Pleine propriété;Copropriété;Indivision;SCI;Bail emphytéotique,,Titre de propriété,
1,Identification et Statut Juridique,Numéro de lot (copropriété),Numéro(s) de lot(s) dans le règlement de copropriété,TEXT,Texte libre,,,Règlement de copropriété,
1,Identification et Statut Juridique,Quote-part copropriété (millièmes),Tantièmes / millièmes attribués au lot,NUM,Nombre / Mesure,,,État daté,
1,Identification et Statut Juridique,Servitudes,"Passage, vue, écoulement, mitoyenneté — nature et emprise précise",TEXT,Texte libre,,,Acte de propriété,Contrainte ou avantage selon nature
1,Identification et Statut Juridique,Hypothèques et sûretés,"Prêts en cours, hypothèques légales, privilèges de prêteurs de deniers",CHECK,Oui / Non,Oui;Non,,Publicité foncière,
1,Identification et Statut Juridique,Bail en cours,Location nue / meublée / bail commercial / bail dérogatoire — durée restante et loyer HC,CHECK,Oui / Non,Oui;Non,,Contrat de location,Impact liquidité pour investisseur
1,Identification et Statut Juridique,Droits de préemption actifs,Droit de préemption urbain (DPU) ou droit locataire (Loi Aurillac),CHECK,Oui / Non,Oui;Non,,Mairie / Notaire,
2,Caractéristiques Générales,Surface Carrez (m²),"m² loi Carrez — pièces avec hauteur >1,80m — utilisé pour la vente en copropriété",NUM,Nombre / Mesure,,,Diagnostic métrage Carrez,Base de calcul prix au m²
2,Caractéristiques Générales,Surface Boutin / SHAB (m²),"Surface habitable loi Boutin pour les baux de location — exclut murs, marches, gaines",NUM,Nombre / Mesure,,,Diagnostic ou mesurage,
2,Caractéristiques Générales,Surface totale (m²),"m² incluant caves, garages, combles non aménagés",NUM,Nombre / Mesure,,,Mesurage complet,
2,Caractéristiques Générales,Surface Plancher (m²),Pour déclaration préalable et permis de construire,NUM,Nombre / Mesure,,,Calcul réglementaire,
2,Caractéristiques Générales,Nombre de pièces principales,Séjour + chambres >9 m² avec fenêtre,NUM,Nombre / Mesure,,,Comptage sur plan,Principal indicateur commercial (T1 T2 T3…)
2,Caractéristiques Générales,Nombre de chambres,Pièces ≥9 m² avec fenêtre en façade,NUM,Nombre / Mesure,,,Visite terrain,
2,Caractéristiques Générales,Nombre de salles de bain / douche,"Avec baignoire et/ou douche, vasque — WC intégré ou non",NUM,Nombre / Mesure,,,Visite terrain,
2,Caractéristiques Générales,Nombre de WC,WC indépendants et non indépendants — total,NUM,Nombre / Mesure,,,Visite terrain,
2,Caractéristiques Générales,Étage du bien,RdC / 1er / 2ème… — avec ou sans ascenseur,SEL,Liste de choix,RdC;1er;2ème;3ème;4ème;5ème;6ème et +;Dernier étage,,Pour appartement,+5 à +10% dernier étage avec vue; -5% RdC sans jardin
2,Caractéristiques Générales,Nombre d'étages total immeuble,Total niveaux du bâtiment incluant RdC,NUM,Nombre / Mesure,,,Visite terrain,
2,Caractéristiques Générales,Orientation principale,Façade principale : Nord / Sud / Est / Ouest / Sud-Est / Sud-Ouest,SEL,Liste de choix,Nord;Sud;Est;Ouest;Nord-Est;Nord-Ouest;Sud-Est;Sud-Ouest,,Boussole sur site,+5 à +15% exposition Sud / Sud-Est
2,Caractéristiques Générales,Ascenseur,"Présent / Absent — âge, marque, dernier contrôle réglementaire",CHECK,Oui / Non,Oui;Non,,Carnet entretien syndic,+5 à +10% si absent et étage ≥3
2,Caractéristiques Générales,Cave (m²),"Surface en m², hauteur sous plafond, humidité, fermeture sécurisée",NUM,Nombre / Mesure,,,Visite terrain,
2,Caractéristiques Générales,Grenier / Combles aménageables,Aménagés ou non — Surface et hauteur sous faîtage — potentiel de création de surface,CHECK,Oui / Non,Oui aménagés;Oui non aménagés;Non,"Hauteur >1,80m = aménageable",Visite terrain,Potentiel de valorisation +15 à +40%
2,Caractéristiques Générales,Garage / Box fermé,"Surface m², motorisé ou non, accès direct au logement",CHECK,Oui / Non,Oui motorisé;Oui non motorisé;Non,,Visite terrain,+10 000 à +30 000€ selon localisation
2,Caractéristiques Générales,Parking extérieur,"Nombre de places, couvert ou non, emplacement commun ou privatif",NUM,Nombre / Mesure,,,Visite terrain,
2,Caractéristiques Générales,Terrasse (m²),"Surface m², matériaux (carrelage, bois, béton), état, orientation, vue",NUM,Nombre / Mesure,,,Visite terrain,+5 à +15% selon surface et vue
2,Caractéristiques Générales,Balcon (m²),"Surface m², filant ou non, type garde-corps, résistance",NUM,Nombre / Mesure,,,Visite terrain,+3 à +8%
2,Caractéristiques Générales,Loggia (m²),"Surface m², type de garde-corps, intégrée dans façade",NUM,Nombre / Mesure,,,Visite terrain,
2,Caractéristiques Générales,Jardin privatif (m²),"Surface m², clôturé (type), exposé (orientation), plat ou pentu",NUM,Nombre / Mesure,,,Visite terrain,+5 à +25% selon surface et exposition
2,Caractéristiques Générales,Cour,"Surface m², mitoyenne ou commune, accès véhicule",NUM,Nombre / Mesure,,,Visite terrain,
2,Caractéristiques Générales,Piscine,"Enterrée / Semi-enterrée / Hors sol — surface m², état, filtration, sécurité",SEL,Liste de choix,Enterrée;Semi-enterrée;Hors sol;Aucune,,Visite terrain,+10 000 à +40 000€ selon région et qualité
2,Caractéristiques Générales,"Dépendances (cellier, buanderie, atelier)","Surface m² et état par local — cellier, buanderie, atelier, hangar",TEXT,Texte libre,,,Visite terrain,
3,Structure et Gros Œuvre,Année de construction,Date du permis de construire ou achèvement déclaré,NUM,Nombre / Mesure,,,"Cadastre, acte notarié",Détermine réglementations applicables et risques amiante/plomb
3,Structure et Gros Œuvre,Époque de construction,Avant 1850 / 1850-1948 / 1948-1975 / 1975-2000 / Post-2000,SEL,Liste de choix,Avant 1850;1850-1948;1948-1975;1975-2000;Post-2000,,Estimation ou acte,1948-1975 = risque amiante + mauvaise isolation
3,Structure et Gros Œuvre,Type de structure porteuse,Maçonnerie pierre / Brique pleine / Parpaing / Béton armé / Ossature bois / Acier / Mixte,SEL,Liste de choix,Maçonnerie pierre;Brique pleine;Parpaing;Béton armé;Ossature bois;Acier;Mixte,,Visite expert structure,
3,Structure et Gros Œuvre,Fondations — Type,"Superficielles (semelles isolées/filantes) / Profondes (pieux, micropieux)",SEL,Liste de choix,Superficielles - semelles isolées;Superficielles - semelles filantes;Profondes - pieux;Profondes - micropieux;Inconnues,,Expert structure,
3,Structure et Gros Œuvre,Fondations — État,Stable / Tassement différentiel / Fissures actives / Sous-dimensionné,SEL,Liste de choix,Stable;Tassement différentiel;Fissures actives;Sous-dimensionné,,Expert structure,Fissures actives = expertise obligatoire
3,Structure et Gros Œuvre,Toiture — Type,Toit en pente / Toit terrasse / Toit plat / Shed / Mansardé,SEL,Liste de choix,En pente;Terrasse;Plat;Shed;Mansardé,,Visite terrain,
3,Structure et Gros Œuvre,Toiture — Matériaux de couverture,Tuile terre cuite / Ardoise naturelle / Ardoise fibrociment / Zinc / Bac acier / Shingle / Membrane EPDM,SEL,Liste de choix,Tuile terre cuite;Ardoise naturelle;Ardoise fibrociment;Zinc;Bac acier;Shingle;Membrane EPDM;Autre,,Visite terrain,
3,Structure et Gros Œuvre,Toiture — Âge estimé (ans),"Détermine durée de vie restante (tuile : 50-100 ans, zinc : 80 ans, shingle : 25 ans)",NUM,Nombre / Mesure,,<15 ans = bon état,"Factures, observation",
3,Structure et Gros Œuvre,Toiture — État général,Neuf (0-5 ans) / Bon état (5-20 ans) / À surveiller / À refaire,STAR,Note 1-5,1 - À refaire immédiatement;2 - À surveiller;3 - Correct;4 - Bon état;5 - Neuf ou récent,,Visite expert ou couvreur,À refaire = 15 000 à 50 000€ de travaux
3,Structure et Gros Œuvre,Toiture — Étanchéité,Aucune infiltration / Ponctuelles / Actives — traces sur plafonds intérieurs,SEL,Liste de choix,Aucune infiltration;Infiltrations ponctuelles anciennes;Infiltrations actives,,Traces intérieures + visite combles,
3,Structure et Gros Œuvre,Charpente — Type,"Traditionnelle (chevrons, pannes, arbalétriers) / Industrielle (fermettes) / Béton",SEL,Liste de choix,Traditionnelle;Industrielle - fermettes;Béton;Métallique,,Visite combles,
3,Structure et Gros Œuvre,Charpente — État,Saine / Attaquée insectes / Attaquée champignons / Poutres fissurées / Consolidée,SEL,Liste de choix,Saine;Attaquée insectes;Attaquée champignons;Poutres fissurées;Consolidée,,Expert charpentier,
3,Structure et Gros Œuvre,Façades — Matériaux,Enduit / Pierre de taille / Brique / Bardage bois / Bardage composite / Béton brut,SEL,Liste de choix,Enduit;Pierre de taille;Brique;Bardage bois;Bardage composite;Béton brut;Mixte,,Observation,
3,Structure et Gros Œuvre,Façades — État,Neuf / Bon état / Fissuré / Décollé / À ravaler,STAR,Note 1-5,1 - À ravaler urgence;2 - Dégradé;3 - Correct;4 - Bon état;5 - Neuf ou récent,,Observation,
3,Structure et Gros Œuvre,Dernier ravalement (date et type),"Date et type : crépi, peinture, résine, Isolation Thermique par l'Extérieur (ITE)",TEXT,Texte libre,,,"Syndic, factures",
3,Structure et Gros Œuvre,ITE (Isolation Thermique Extérieure),"Présence, type (PSE, laine de roche, fibre bois), épaisseur cm, marque poseur",CHECK,Oui / Non,Oui;Non,,Observation / factures,Améliore DPE — valorise le bien
3,Structure et Gros Œuvre,Fissures structurelles en façade,"Capillaires (<1mm, esthétiques) / Structurelles (>2mm, en escalier sur brique) — expertise si structurelles",SEL,Liste de choix,Aucune;Capillaires <1mm esthétiques;Structurelles >2mm;Fissures en escalier,>2mm = expertise obligatoire,Expert structure,Fissures structurelles = décote importante
3,Structure et Gros Œuvre,Diagnostic amiante (DTA/DAPP),Dossier Technique Amiante — obligatoire si PC avant 1/07/1997,SEL,Liste de choix,Absent certifié;Présent - encapsulé;Présent - à traiter;Non diagnostiqué,Présent à traiter = coût dépollution,Diagnostiqueur certifié,Présent à traiter = décote + surcoût travaux
3,Structure et Gros Œuvre,Diagnostic plomb (CREP),Constat de Risque Exposition Plomb — obligatoire si avant 1949,SEL,Liste de choix,Négatif;Positif - en bon état;Positif - dégradé (risque),Avant 1949 = diagnostic obligatoire,Diagnostiqueur certifié,
3,Structure et Gros Œuvre,Termites,Zone à risque définie par arrêté préfectoral + présence ou absence,CHECK,Oui / Non,Absent;Présent;Zone à risque non diagnostiquée,Présent = traitement curatif obligatoire,Diagnostiqueur certifié,
3,Structure et Gros Œuvre,Mérule (champignon lignivore),Zones humides — destruction rapide de la structure bois,CHECK,Oui / Non,Absent;Présent;Suspicion - expertise recommandée,,Expertise bois si suspicion,Présent = décote majeure + travaux urgents
4,Revêtements Muraux Intérieurs,Pièce concernée,Séjour / Chambre 1 / Chambre 2 / Cuisine / SDB / WC / Couloir…,SEL,Liste de choix,Séjour;Cuisine;Chambre 1;Chambre 2;Chambre 3;SDB;WC;Couloir;Bureau;Autre,,,
4,Revêtements Muraux Intérieurs,Type de revêtement (par pièce),Peinture / Papier peint / Enduit à la chaux / Enduit décoratif / Carrelage / Lambris / Pierre / Boiseries,SEL,Liste de choix,Peinture;Papier peint;Enduit à la chaux;Enduit décoratif;Carrelage;Lambris bois;Pierre apparente;Boiseries;Tissu tendu;Béton ciré,,Observation,
4,Revêtements Muraux Intérieurs,État général (par pièce),Neuf / Bon état / À rafraîchir / À refaire,STAR,Note 1-5,1 - À refaire;2 - Dégradé;3 - À rafraîchir;4 - Bon état;5 - Neuf,,Observation,
4,Revêtements Muraux Intérieurs,Traces d'humidité,"Absence / Légères (auréoles anciennes) / Importantes (actives, décollements)",SEL,Liste de choix,Absence;Légères - auréoles anciennes;Importantes - actives;Décollements généralisés,,Humidimètre + observation,
4,Revêtements Muraux Intérieurs,Moisissures,"Absence / Ponctuelles (coins, joints) / Étendues (>50 cm²)",SEL,Liste de choix,Absence;Ponctuelles <50 cm²;Moyennes 50-200 cm²;Étendues >200 cm²,>50 cm² = traitement et recherche cause,Observation + labo si doute,
4,Revêtements Muraux Intérieurs,Salpêtre,Dépôt blanc efflorescent en pied de mur ou murs en contact avec le sol,CHECK,Oui / Non,Oui;Non,,Observation,Indicateur de remontées capillaires
4,Revêtements Muraux Intérieurs,Décollements / Boursouflures,Absence / Présents localement / Généralisés — sous papier peint ou enduit,SEL,Liste de choix,Absence;Locaux <10%;Généralisés >10%,,Observation,
4,Revêtements Muraux Intérieurs,Qualité des finitions,"Aplombs corrects, arêtes nettes / Défauts visibles / Travail amateur",STAR,Note 1-5,1 - Amateur;2 - Faible;3 - Correct;4 - Bon;5 - Excellent,,Observation,
4,Revêtements Muraux Intérieurs,Hauteur sous plafond (cm),Mesuré au mètre laser — par pièce principale,NUM,Nombre / Mesure,,>270 cm = généreux; <250 cm = bas,Mètre laser,+3 à +8% si >270cm
4,Revêtements Muraux Intérieurs,Moulures / Corniches / Rosaces,"Présence, style (classique, Art déco, moderne), état (intact / fissuré / absent)",CHECK,Oui / Non,Oui - intact;Oui - fissuré;Absent,,Observation,Cachet architectural valorisant en ancien
5,Revêtements de Sols,Pièce concernée,Séjour / Chambre / Cuisine…,SEL,Liste de choix,Séjour;Cuisine;Chambre 1;Chambre 2;Chambre 3;SDB;WC;Couloir;Bureau;Autre,,,
5,Revêtements de Sols,Type de revêtement (par pièce),Parquet massif / Contrecollé / Flottant / Carrelage grès / Marbre / Béton ciré / Résine / LVT / Moquette / Lino / Stratifié,SEL,Liste de choix,Parquet massif;Parquet contrecollé;Parquet flottant;Carrelage grès cérame;Carrelage céramique;Marbre;Pierre naturelle;Béton ciré;Résine époxy;LVT vinyl;Moquette;Lino;Stratifié,,Observation,Parquet massif = valorisant
5,Revêtements de Sols,Essence du bois (si parquet),"Chêne, hêtre, pin, noyer, teck, wengé, bambou…",TEXT,Texte libre,,,Observation / certificat,
5,Revêtements de Sols,Largeur des lames (cm),<6 cm : classique / 6-10 cm : standard / >10 cm : larges lames (noble),NUM,Nombre / Mesure,,>10 cm = lames larges noble,Mesure directe,Larges lames = +5 à +10%
5,Revêtements de Sols,État du revêtement,Neuf / Bon état / Rayé (parquet à poncer) / Abîmé / À remplacer,STAR,Note 1-5,1 - À remplacer;2 - Abîmé;3 - Rayé;4 - Bon état;5 - Neuf,,Observation,
5,Revêtements de Sols,Craquements,Stable / Craquements ponctuels / Craquements généralisés / Plancher instable,SEL,Liste de choix,Stable;Craquements ponctuels;Craquements généralisés;Instable,,Test au pied,
5,Revêtements de Sols,Plancher chauffant intégré,Électrique / Hydraulique / Absent — vérifier compatibilité avec revêtement posé,SEL,Liste de choix,Électrique;Hydraulique;Absent,,Factures installation,Plancher chauffant = confort + valorisation
5,Revêtements de Sols,Planéité du sol,Plan / Dénivelés visibles (<5mm/2m acceptable) / Affaissements locaux,SEL,Liste de choix,Plan;Dénivelés <5mm acceptables;Dénivelés visibles;Affaissements locaux,<5mm/2m = acceptable,Règle de 2m / niveau laser,
6,Menuiseries et Fenêtres,Type de vitrage,"Simple / DV classique (4/12/4) / DV performant (4/16/4 argon) / Triple (Uw ≤0,8)",SEL,Liste de choix,Simple vitrage;DV classique 4/12/4;DV performant 4/16/4;DV avec gaz argon;Triple vitrage,DV performant = référence actuelle,Observation / notice,Fort impact DPE et confort acoustique
6,Menuiseries et Fenêtres,Valeur Uw menuiserie (W/m²K),"Coefficient thermique global de la fenêtre — plus c'est bas, mieux c'est",NUM,Nombre / Mesure,,"≤1,4 = bon ; ≤0,8 = excellent",Étiquette ou documentation,Impacte DPE directement
6,Menuiseries et Fenêtres,Matériau des menuiseries,Bois / PVC / Aluminium standard / Aluminium à RPT (Rupture de Pont Thermique) / Mixte bois-alu,SEL,Liste de choix,Bois;PVC;Aluminium standard;Aluminium RPT;Mixte bois-alu,,Observation,Alu RPT = meilleure isolation thermique
6,Menuiseries et Fenêtres,État des menuiseries,Neuf / Bon état / Joints défaillants / Déformés / Pourris (bois) / Décollements (PVC),STAR,Note 1-5,1 - Hors service;2 - Dégradé;3 - Joints HS;4 - Bon état;5 - Neuf,,Observation + test ouverture,
6,Menuiseries et Fenêtres,Étanchéité à l'air,Bonne / Courants d'air perceptibles / Mauvaise — test papier cigarette,SEL,Liste de choix,Bonne;Courants d'air légers;Mauvaise,,Test papier cigarette ou fumée,Mauvaise = déperditions thermiques + bruit
6,Menuiseries et Fenêtres,Volets / Persiennes,Absents / Bois / PVC / Aluminium / Roulants manuels / Roulants électriques (motorisés),SEL,Liste de choix,Absents;Bois;PVC;Aluminium;Roulants manuels;Roulants motorisés,,Observation,Roulants motorisés = confort + isolation
6,Menuiseries et Fenêtres,Surface vitrée par pièce (m²),Total baies vitrées par pièce — rapport surface vitrée/sol (>15% = bien éclairé),NUM,Nombre / Mesure,,>15% surface sol = bien éclairé,Mètre laser,
6,Menuiseries et Fenêtres,Certification ACOTHERM,Classe acoustique (Ac1 à Ac4) + classe thermique (Th+) — certification NF,TEXT,Texte libre,,,Étiquette ou documentation,
7,Portes et Accès,Porte d'entrée — Type,Standard / Blindée / Porte palière de sécurité (résistance à l'enfoncement),SEL,Liste de choix,Standard;Blindée;Palière de sécurité,,Observation,Blindée = argument sécurité + assurance
7,Portes et Accès,Porte d'entrée — Certification A2P,1 étoile (5 min) / 2 étoiles (10 min) / 3 étoiles (15 min) de résistance à l'effraction,SEL,Liste de choix,Non certifiée;A2P 1 étoile;A2P 2 étoiles;A2P 3 étoiles,,Étiquette sur serrure,Réduction prime assurance habitation
7,Portes et Accès,Points de fermeture,Monopoint / Multipoints 3 points / Multipoints 5 points,SEL,Liste de choix,Monopoint;3 points;5 points;Autre,3 points minimum recommandé,Observation,
7,Portes et Accès,Visiophone,Absent / Interphone audio / Visiophone écran / Connecté smartphone avec enregistrement,SEL,Liste de choix,Absent;Interphone audio;Visiophone écran;Connecté smartphone,,Observation,
7,Portes et Accès,Contrôle d'accès immeuble,Clé mécanique / Digicode / Badge électronique / Biométrie / Application mobile,SEL,Liste de choix,Clé mécanique;Digicode;Badge;Biométrie;Application mobile,,Observation,
7,Portes et Accès,Porte de garage,Manuelle / Motorisée télécommande / Sectionnelle / Basculante / Coulissante,SEL,Liste de choix,Manuelle;Motorisée;Sectionnelle;Basculante;Coulissante;Aucune,,Observation,
7,Portes et Accès,Portail,Manuel / Motorisé télécommande / Interphone intégré / Ouverture automatique,SEL,Liste de choix,Manuel;Motorisé;Interphone intégré;Ouverture automatique;Aucun,,Observation,
8,Installations Électriques,Tableau électrique — Âge (ans),En années depuis installation ou dernière mise à niveau,NUM,Nombre / Mesure,,<15 ans = récent,Observation,
8,Installations Électriques,Type de protection,Fusibles à cartouche (ancien) / Disjoncteurs différentiels 30mA (norme actuelle),SEL,Liste de choix,Fusibles à cartouche;Disjoncteurs différentiels;Mixte,Disjoncteurs = norme actuelle,Observation directe,
8,Installations Électriques,Intensité du tableau (A),Monophasé 30A / 60A ou triphasé 3×25A…,NUM,Nombre / Mesure,,>30A = usage confortable,Étiquette tableau,
8,Installations Électriques,Conformité NF C 15-100,"Norme électrique française — câblage, mises à la terre, disjoncteurs différentiels 30mA",SEL,Liste de choix,Conforme;Non conforme;Partiellement conforme,Obligatoire à la vente,Diagnostiqueur COPREC,Non conforme = travaux obligatoires
8,Installations Électriques,Mise à la terre,Présente partout / Partielle / Absente,SEL,Liste de choix,Présente partout;Partielle;Absente,Obligatoire partout,Diagnostic électrique,
8,Installations Électriques,Nombre de prises par pièce,"Avec terre (3 trous), type (standard, USB intégré, encastré, saillie)",NUM,Nombre / Mesure,,≥5 prises/pièce principale,Comptage terrain,
8,Installations Électriques,Prises RJ45 réseau,Présentes dans pièces principales — câblage Ethernet Cat5e ou Cat6,CHECK,Oui / Non,Oui;Non,,Observation,Fibre/Ethernet intégré = valorisant
8,Installations Électriques,Puissance souscrite (kVA),6 / 9 / 12 / 18 / 24 / 36 kVA,NUM,Nombre / Mesure,,9-12 kVA pour maison confortable,Facture EDF ou Linky,
8,Installations Électriques,Alarme intrusion,"Filaire (plus fiable) / Sans fil — marque (Ajax, Somfy…) — contrat télésurveillance actif",CHECK,Oui / Non,Oui avec télésurveillance;Oui sans télésurveillance;Non,,Observation + contrat,Réduction prime assurance
8,Installations Électriques,Compteur Linky,Présence et localisation — permet suivi conso en temps réel,CHECK,Oui / Non,Oui;Non (ancien),Obligatoire depuis 2018,Observation,
8,Installations Électriques,Domotique — Protocole,"KNX (filaire pro) / Zigbee / Z-Wave / Matter / Propriétaire (Legrand, Schneider, Somfy)",SEL,Liste de choix,Aucune;KNX;Zigbee;Z-Wave;Matter;Propriétaire Legrand;Propriétaire Somfy;Autre,,Observation + documentation,KNX = haut de gamme valorisant
9,Installations de Plomberie,Matériaux des canalisations,Cuivre (durable) / PER polyéthylène réticulé (flexible) / PVC / Galvanisé / Plomb (à remplacer !),SEL,Liste de choix,Cuivre;PER polyéthylène réticulé;PVC;Galvanisé;Plomb;Mixte,Plomb = danger sanitaire urgent,Observation ou expertise,Plomb = remplacement urgent coûteux
9,Installations de Plomberie,Âge des canalisations (ans),Estimation selon matériaux et époque de construction,NUM,Nombre / Mesure,,>30 ans = risque de fuite accru,Factures / estimation,
9,Installations de Plomberie,Pression de l'eau (bar),Mesure au robinet — pression dynamique (en cours d'utilisation) et statique,NUM,Nombre / Mesure,,2-4 bar = normale ; <1 bar = insuffisant,Manomètre de robinet,
9,Installations de Plomberie,Chauffe-eau — Type,Électrique / Gaz instantané / Gaz accumulation / Thermodynamique PAC-ECS / Solaire / Ballon collectif,SEL,Liste de choix,Électrique accumulation;Gaz instantané;Gaz accumulation;Thermodynamique PAC-ECS;Solaire thermique;Ballon collectif,,Observation,Thermodynamique = le plus économique
