id_categorie,categorie,champ,description,type_champ,poids_estimation,niveau_impact,impact_valeur_detail,dispo_DVF,dispo_PORTAIL,dispo_IDEERI,source_collecte
1,Identification et Statut Juridique,Adresse complète,"Numéro, rue, code postal, ville, bâtiment, étage, numéro de porte",TEXT,4,Critique,,OUI,OUI,OUI,Acte de propriété
1,Identification et Statut Juridique,Référence cadastrale,Département / Commune / Préfixe / Section / Numéro de parcelle,TEXT,2,Contextuel,,OUI,NON,OUI,Cadastre.gouv.fr
1,Identification et Statut Juridique,Type de bien,Appartement / Maison individuelle / Villa / Studio / Duplex / Loft / Terrain / Local commercial,SEL,4,Critique,Base de valorisation,OUI,OUI,OUI,Titre de propriété
1,Identification et Statut Juridique,Régime de propriété,Pleine propriété / Copropriété / Indivision / SCI / Bail emphytéotique,SEL,3,Important,,NON,NON,OUI,Titre de propriété
1,Identification et Statut Juridique,Numéro de lot (copropriété),Numéro(s) de lot(s) dans le règlement de copropriété,TEXT,1,Informatif,,NON,NON,OUI,Règlement de copropriété
1,Identification et Statut Juridique,Quote-part copropriété (millièmes),Tantièmes / millièmes attribués au lot,NUM,2,Contextuel,,NON,NON,OUI,État daté
1,Identification et Statut Juridique,Servitudes,"Passage, vue, écoulement, mitoyenneté — nature et emprise précise",TEXT,3,Important,Contrainte ou avantage selon nature,NON,NON,OUI,Acte de propriété
1,Identification et Statut Juridique,Hypothèques et sûretés,"Prêts en cours, hypothèques légales, privilèges de prêteurs de deniers",CHECK,2,Contextuel,,NON,NON,OUI,Publicité foncière
1,Identification et Statut Juridique,Bail en cours,Location nue / meublée / bail commercial / bail dérogatoire — durée restante et loyer HC,CHECK,3,Important,Impact liquidité pour investisseur,NON,NON,OUI,Contrat de location
1,Identification et Statut Juridique,Droits de préemption actifs,Droit de préemption urbain (DPU) ou droit locataire (Loi Aurillac),CHECK,2,Contextuel,,NON,NON,OUI,Mairie / Notaire
2,Caractéristiques Générales,Surface Carrez (m²),"m² loi Carrez — pièces avec hauteur >1,80m — utilisé pour la vente en copropriété",NUM,4,Critique,Base de calcul prix au m²,OUI,OUI,OUI,Diagnostic métrage Carrez
2,Caractéristiques Générales,Surface Boutin / SHAB (m²),"Surface habitable loi Boutin pour les baux de location — exclut murs, marches, gaines",NUM,3,Important,,NON,OUI,OUI,Diagnostic ou mesurage
2,Caractéristiques Générales,Surface totale (m²),"m² incluant caves, garages, combles non aménagés",NUM,2,Contextuel,,OUI,NON,OUI,Mesurage complet
2,Caractéristiques Générales,Surface Plancher (m²),Pour déclaration préalable et permis de construire,NUM,1,Informatif,,NON,NON,OUI,Calcul réglementaire
2,Caractéristiques Générales,Nombre de pièces principales,Séjour + chambres >9 m² avec fenêtre,NUM,4,Critique,Principal indicateur commercial (T1 T2 T3…),OUI,OUI,OUI,Comptage sur plan
2,Caractéristiques Générales,Nombre de chambres,Pièces ≥9 m² avec fenêtre en façade,NUM,4,Critique,,NON,OUI,OUI,Visite terrain
2,Caractéristiques Générales,Nombre de salles de bain / douche,"Avec baignoire et/ou douche, vasque — WC intégré ou non",NUM,3,Important,,NON,OUI,OUI,Visite terrain
2,Caractéristiques Générales,Nombre de WC,WC indépendants et non indépendants — total,NUM,2,Contextuel,,NON,NON,OUI,Visite terrain
2,Caractéristiques Générales,Étage du bien,RdC / 1er / 2ème… — avec ou sans ascenseur,SEL,4,Critique,+5 à +10% dernier étage avec vue; -5% RdC sans jardin,NON,OUI,OUI,Pour appartement
2,Caractéristiques Générales,Nombre d'étages total immeuble,Total niveaux du bâtiment incluant RdC,NUM,2,Contextuel,,NON,OUI,OUI,Visite terrain
2,Caractéristiques Générales,Orientation principale,Façade principale : Nord / Sud / Est / Ouest / Sud-Est / Sud-Ouest,SEL,3,Important,+5 à +15% exposition Sud / Sud-Est,NON,OUI,OUI,Boussole sur site
2,Caractéristiques Générales,Ascenseur,"Présent / Absent — âge, marque, dernier contrôle réglementaire",CHECK,3,Important,+5 à +10% si absent et étage ≥3,NON,OUI,OUI,Carnet entretien syndic
2,Caractéristiques Générales,Cave (m²),"Surface en m², hauteur sous plafond, humidité, fermeture sécurisée",NUM,2,Contextuel,,NON,OUI,OUI,Visite terrain
2,Caractéristiques Générales,Grenier / Combles aménageables,Aménagés ou non — Surface et hauteur sous faîtage — potentiel de création de surface,CHECK,3,Important,Potentiel de valorisation +15 à +40%,NON,NON,OUI,Visite terrain
2,Caractéristiques Générales,Garage / Box fermé,"Surface m², motorisé ou non, accès direct au logement",CHECK,4,Critique,+10 000 à +30 000€ selon localisation,NON,OUI,OUI,Visite terrain
2,Caractéristiques Générales,Parking extérieur,"Nombre de places, couvert ou non, emplacement commun ou privatif",NUM,3,Important,,NON,OUI,OUI,Visite terrain
2,Caractéristiques Générales,Terrasse (m²),"Surface m², matériaux (carrelage, bois, béton), état, orientation, vue",NUM,4,Critique,+5 à +15% selon surface et vue,NON,OUI,OUI,Visite terrain
2,Caractéristiques Générales,Balcon (m²),"Surface m², filant ou non, type garde-corps, résistance",NUM,3,Important,+3 à +8%,NON,OUI,OUI,Visite terrain
2,Caractéristiques Générales,Loggia (m²),"Surface m², type de garde-corps, intégrée dans façade",NUM,2,Contextuel,,NON,NON,OUI,Visite terrain
2,Caractéristiques Générales,Jardin privatif (m²),"Surface m², clôturé (type), exposé (orientation), plat ou pentu",NUM,4,Critique,+5 à +25% selon surface et exposition,NON,OUI,OUI,Visite terrain
2,Caractéristiques Générales,Cour,"Surface m², mitoyenne ou commune, accès véhicule",NUM,2,Contextuel,,NON,NON,OUI,Visite terrain
2,Caractéristiques Générales,Piscine,"Enterrée / Semi-enterrée / Hors sol — surface m², état, filtration, sécurité",SEL,3,Important,+10 000 à +40 000€ selon région et qualité,NON,OUI,OUI,Visite terrain
2,Caractéristiques Générales,"Dépendances (cellier, buanderie, atelier)","Surface m² et état par local — cellier, buanderie, atelier, hangar",TEXT,2,Contextuel,,NON,NON,OUI,Visite terrain
3,Structure et Gros Œuvre,Année de construction,Date du permis de construire ou achèvement déclaré,NUM,3,Important,Détermine réglementations applicables et risques amiante/plomb,NON,OUI,OUI,"Cadastre, acte notarié"
3,Structure et Gros Œuvre,Époque de construction,Avant 1850 / 1850-1948 / 1948-1975 / 1975-2000 / Post-2000,SEL,3,Important,1948-1975 = risque amiante + mauvaise isolation,NON,NON,OUI,Estimation ou acte
3,Structure et Gros Œuvre,Type de structure porteuse,Maçonnerie pierre / Brique pleine / Parpaing / Béton armé / Ossature bois / Acier / Mixte,SEL,2,Contextuel,,NON,NON,OUI,Visite expert structure
3,Structure et Gros Œuvre,Fondations — Type,"Superficielles (semelles isolées/filantes) / Profondes (pieux, micropieux)",SEL,1,Informatif,,NON,NON,OUI,Expert structure
3,Structure et Gros Œuvre,Fondations — État,Stable / Tassement différentiel / Fissures actives / Sous-dimensionné,SEL,3,Important,Fissures actives = expertise obligatoire,NON,NON,OUI,Expert structure
3,Structure et Gros Œuvre,Toiture — Type,Toit en pente / Toit terrasse / Toit plat / Shed / Mansardé,SEL,2,Contextuel,,NON,NON,OUI,Visite terrain
3,Structure et Gros Œuvre,Toiture — Matériaux de couverture,Tuile terre cuite / Ardoise naturelle / Ardoise fibrociment / Zinc / Bac acier / Shingle / Membrane EPDM,SEL,1,Informatif,,NON,NON,OUI,Visite terrain
3,Structure et Gros Œuvre,Toiture — Âge estimé (ans),"Détermine durée de vie restante (tuile : 50-100 ans, zinc : 80 ans, shingle : 25 ans)",NUM,3,Important,,NON,NON,OUI,"Factures, observation"
3,Structure et Gros Œuvre,Toiture — État général,Neuf (0-5 ans) / Bon état (5-20 ans) / À surveiller / À refaire,STAR,4,Critique,À refaire = 15 000 à 50 000€ de travaux,NON,NON,OUI,Visite expert ou couvreur
3,Structure et Gros Œuvre,Toiture — Étanchéité,Aucune infiltration / Ponctuelles / Actives — traces sur plafonds intérieurs,SEL,3,Important,,NON,NON,OUI,Traces intérieures + visite combles
3,Structure et Gros Œuvre,Charpente — Type,"Traditionnelle (chevrons, pannes, arbalétriers) / Industrielle (fermettes) / Béton",SEL,1,Informatif,,NON,NON,OUI,Visite combles
3,Structure et Gros Œuvre,Charpente — État,Saine / Attaquée insectes / Attaquée champignons / Poutres fissurées / Consolidée,SEL,3,Important,,NON,NON,OUI,Expert charpentier
3,Structure et Gros Œuvre,Façades — Matériaux,Enduit / Pierre de taille / Brique / Bardage bois / Bardage composite / Béton brut,SEL,1,Informatif,,NON,NON,OUI,Observation
3,Structure et Gros Œuvre,Façades — État,Neuf / Bon état / Fissuré / Décollé / À ravaler,STAR,2,Contextuel,,NON,NON,OUI,Observation
3,Structure et Gros Œuvre,Dernier ravalement (date et type),"Date et type : crépi, peinture, résine, Isolation Thermique par l'Extérieur (ITE)",TEXT,2,Contextuel,,NON,NON,OUI,"Syndic, factures"
3,Structure et Gros Œuvre,ITE (Isolation Thermique Extérieure),"Présence, type (PSE, laine de roche, fibre bois), épaisseur cm, marque poseur",CHECK,3,Important,Améliore DPE — valorise le bien,NON,NON,OUI,Observation / factures
3,Structure et Gros Œuvre,Fissures structurelles en façade,"Capillaires (<1mm, esthétiques) / Structurelles (>2mm, en escalier sur brique) — expertise si structurelles",SEL,4,Critique,Fissures structurelles = décote importante,NON,NON,OUI,Expert structure
3,Structure et Gros Œuvre,Diagnostic amiante (DTA/DAPP),Dossier Technique Amiante — obligatoire si PC avant 1/07/1997,SEL,3,Important,Présent à traiter = décote + surcoût travaux,NON,NON,OUI,Diagnostiqueur certifié
3,Structure et Gros Œuvre,Diagnostic plomb (CREP),Constat de Risque Exposition Plomb — obligatoire si avant 1949,SEL,2,Contextuel,,NON,NON,OUI,Diagnostiqueur certifié
3,Structure et Gros Œuvre,Termites,Zone à risque définie par arrêté préfectoral + présence ou absence,CHECK,3,Important,,NON,NON,OUI,Diagnostiqueur certifié
3,Structure et Gros Œuvre,Mérule (champignon lignivore),Zones humides — destruction rapide de la structure bois,CHECK,4,Critique,Présent = décote majeure + travaux urgents,NON,NON,OUI,Expertise bois si suspicion
4,Revêtements Muraux Intérieurs,Pièce concernée,Séjour / Chambre 1 / Chambre 2 / Cuisine / SDB / WC / Couloir…,SEL,1,Informatif,,NON,NON,OUI,
4,Revêtements Muraux Intérieurs,Type de revêtement (par pièce),Peinture / Papier peint / Enduit à la chaux / Enduit décoratif / Carrelage / Lambris / Pierre / Boiseries,SEL,2,Contextuel,,NON,NON,OUI,Observation
4,Revêtements Muraux Intérieurs,État général (par pièce),Neuf / Bon état / À rafraîchir / À refaire,STAR,2,Contextuel,,NON,NON,OUI,Observation
4,Revêtements Muraux Intérieurs,Traces d'humidité,"Absence / Légères (auréoles anciennes) / Importantes (actives, décollements)",SEL,3,Important,,NON,NON,OUI,Humidimètre + observation
4,Revêtements Muraux Intérieurs,Moisissures,"Absence / Ponctuelles (coins, joints) / Étendues (>50 cm²)",SEL,3,Important,,NON,NON,OUI,Observation + labo si doute
4,Revêtements Muraux Intérieurs,Salpêtre,Dépôt blanc efflorescent en pied de mur ou murs en contact avec le sol,CHECK,3,Important,Indicateur de remontées capillaires,NON,NON,OUI,Observation
4,Revêtements Muraux Intérieurs,Décollements / Boursouflures,Absence / Présents localement / Généralisés — sous papier peint ou enduit,SEL,2,Contextuel,,NON,NON,OUI,Observation
4,Revêtements Muraux Intérieurs,Qualité des finitions,"Aplombs corrects, arêtes nettes / Défauts visibles / Travail amateur",STAR,2,Contextuel,,NON,NON,OUI,Observation
4,Revêtements Muraux Intérieurs,Hauteur sous plafond (cm),Mesuré au mètre laser — par pièce principale,NUM,3,Important,+3 à +8% si >270cm,NON,NON,OUI,Mètre laser
4,Revêtements Muraux Intérieurs,Moulures / Corniches / Rosaces,"Présence, style (classique, Art déco, moderne), état (intact / fissuré / absent)",CHECK,2,Contextuel,Cachet architectural valorisant en ancien,NON,NON,OUI,Observation
5,Revêtements de Sols,Pièce concernée,Séjour / Chambre / Cuisine…,SEL,1,Informatif,,NON,NON,OUI,
5,Revêtements de Sols,Type de revêtement (par pièce),Parquet massif / Contrecollé / Flottant / Carrelage grès / Marbre / Béton ciré / Résine / LVT / Moquette / Lino / Stratifié,SEL,2,Contextuel,Parquet massif = valorisant,NON,NON,OUI,Observation
5,Revêtements de Sols,Essence du bois (si parquet),"Chêne, hêtre, pin, noyer, teck, wengé, bambou…",TEXT,1,Informatif,,NON,NON,OUI,Observation / certificat
5,Revêtements de Sols,Largeur des lames (cm),<6 cm : classique / 6-10 cm : standard / >10 cm : larges lames (noble),NUM,1,Informatif,Larges lames = +5 à +10%,NON,NON,OUI,Mesure directe
5,Revêtements de Sols,État du revêtement,Neuf / Bon état / Rayé (parquet à poncer) / Abîmé / À remplacer,STAR,2,Contextuel,,NON,NON,OUI,Observation
5,Revêtements de Sols,Craquements,Stable / Craquements ponctuels / Craquements généralisés / Plancher instable,SEL,2,Contextuel,,NON,NON,OUI,Test au pied
5,Revêtements de Sols,Plancher chauffant intégré,Électrique / Hydraulique / Absent — vérifier compatibilité avec revêtement posé,SEL,3,Important,Plancher chauffant = confort + valorisation,NON,NON,OUI,Factures installation
5,Revêtements de Sols,Planéité du sol,Plan / Dénivelés visibles (<5mm/2m acceptable) / Affaissements locaux,SEL,1,Informatif,,NON,NON,OUI,Règle de 2m / niveau laser
6,Menuiseries et Fenêtres,Type de vitrage,"Simple / DV classique (4/12/4) / DV performant (4/16/4 argon) / Triple (Uw ≤0,8)",SEL,4,Critique,Fort impact DPE et confort acoustique,NON,OUI,OUI,Observation / notice
6,Menuiseries et Fenêtres,Valeur Uw menuiserie (W/m²K),"Coefficient thermique global de la fenêtre — plus c'est bas, mieux c'est",NUM,2,Contextuel,Impacte DPE directement,NON,NON,OUI,Étiquette ou documentation
6,Menuiseries et Fenêtres,Matériau des menuiseries,Bois / PVC / Aluminium standard / Aluminium à RPT (Rupture de Pont Thermique) / Mixte bois-alu,SEL,2,Contextuel,Alu RPT = meilleure isolation thermique,NON,NON,OUI,Observation
6,Menuiseries et Fenêtres,État des menuiseries,Neuf / Bon état / Joints défaillants / Déformés / Pourris (bois) / Décollements (PVC),STAR,3,Important,,NON,NON,OUI,Observation + test ouverture
6,Menuiseries et Fenêtres,Étanchéité à l'air,Bonne / Courants d'air perceptibles / Mauvaise — test papier cigarette,SEL,2,Contextuel,Mauvaise = déperditions thermiques + bruit,NON,NON,OUI,Test papier cigarette ou fumée
6,Menuiseries et Fenêtres,Volets / Persiennes,Absents / Bois / PVC / Aluminium / Roulants manuels / Roulants électriques (motorisés),SEL,2,Contextuel,Roulants motorisés = confort + isolation,NON,NON,OUI,Observation
6,Menuiseries et Fenêtres,Surface vitrée par pièce (m²),Total baies vitrées par pièce — rapport surface vitrée/sol (>15% = bien éclairé),NUM,2,Contextuel,,NON,NON,OUI,Mètre laser
6,Menuiseries et Fenêtres,Certification ACOTHERM,Classe acoustique (Ac1 à Ac4) + classe thermique (Th+) — certification NF,TEXT,1,Informatif,,NON,NON,OUI,Étiquette ou documentation
7,Portes et Accès,Porte d'entrée — Type,Standard / Blindée / Porte palière de sécurité (résistance à l'enfoncement),SEL,2,Contextuel,Blindée = argument sécurité + assurance,NON,NON,OUI,Observation
7,Portes et Accès,Porte d'entrée — Certification A2P,1 étoile (5 min) / 2 étoiles (10 min) / 3 étoiles (15 min) de résistance à l'effraction,SEL,1,Informatif,Réduction prime assurance habitation,NON,NON,OUI,Étiquette sur serrure
7,Portes et Accès,Points de fermeture,Monopoint / Multipoints 3 points / Multipoints 5 points,SEL,1,Informatif,,NON,NON,OUI,Observation
7,Portes et Accès,Visiophone,Absent / Interphone audio / Visiophone écran / Connecté smartphone avec enregistrement,SEL,1,Informatif,,NON,NON,OUI,Observation
7,Portes et Accès,Contrôle d'accès immeuble,Clé mécanique / Digicode / Badge électronique / Biométrie / Application mobile,SEL,2,Contextuel,,NON,NON,OUI,Observation
7,Portes et Accès,Porte de garage,Manuelle / Motorisée télécommande / Sectionnelle / Basculante / Coulissante,SEL,1,Informatif,,NON,NON,OUI,Observation
7,Portes et Accès,Portail,Manuel / Motorisé télécommande / Interphone intégré / Ouverture automatique,SEL,1,Informatif,,NON,NON,OUI,Observation
8,Installations Électriques,Tableau électrique — Âge (ans),En années depuis installation ou dernière mise à niveau,NUM,2,Contextuel,,NON,NON,OUI,Observation
8,Installations Électriques,Type de protection,Fusibles à cartouche (ancien) / Disjoncteurs différentiels 30mA (norme actuelle),SEL,1,Informatif,,NON,NON,OUI,Observation directe
8,Installations Électriques,Intensité du tableau (A),Monophasé 30A / 60A ou triphasé 3×25A…,NUM,1,Informatif,,NON,NON,OUI,Étiquette tableau
8,Installations Électriques,Conformité NF C 15-100,"Norme électrique française — câblage, mises à la terre, disjoncteurs différentiels 30mA",SEL,3,Important,Non conforme = travaux obligatoires,NON,NON,OUI,Diagnostiqueur COPREC
8,Installations Électriques,Mise à la terre,Présente partout / Partielle / Absente,SEL,2,Contextuel,,NON,NON,OUI,Diagnostic électrique
8,Installations Électriques,Nombre de prises par pièce,"Avec terre (3 trous), type (standard, USB intégré, encastré, saillie)",NUM,1,Informatif,,NON,NON,OUI,Comptage terrain
8,Installations Électriques,Prises RJ45 réseau,Présentes dans pièces principales — câblage Ethernet Cat5e ou Cat6,CHECK,2,Contextuel,Fibre/Ethernet intégré = valorisant,NON,NON,OUI,Observation
8,Installations Électriques,Puissance souscrite (kVA),6 / 9 / 12 / 18 / 24 / 36 kVA,NUM,1,Informatif,,NON,NON,OUI,Facture EDF ou Linky
8,Installations Électriques,Alarme intrusion,"Filaire (plus fiable) / Sans fil — marque (Ajax, Somfy…) — contrat télésurveillance actif",CHECK,1,Informatif,Réduction prime assurance,NON,NON,OUI,Observation + contrat
8,Installations Électriques,Compteur Linky,Présence et localisation — permet suivi conso en temps réel,CHECK,1,Informatif,,NON,NON,OUI,Observation
8,Installations Électriques,Domotique — Protocole,"KNX (filaire pro) / Zigbee / Z-Wave / Matter / Propriétaire (Legrand, Schneider, Somfy)",SEL,2,Contextuel,KNX = haut de gamme valorisant,NON,NON,OUI,Observation + documentation
9,Installations de Plomberie,Matériaux des canalisations,Cuivre (durable) / PER polyéthylène réticulé (flexible) / PVC / Galvanisé / Plomb (à remplacer !),SEL,3,Important,Plomb = remplacement urgent coûteux,NON,NON,OUI,Observation ou expertise
9,Installations de Plomberie,Âge des canalisations (ans),Estimation selon matériaux et époque de construction,NUM,2,Contextuel,,NON,NON,OUI,Factures / estimation
9,Installations de Plomberie,Pression de l'eau (bar),Mesure au robinet — pression dynamique (en cours d'utilisation) et statique,NUM,1,Informatif,,NON,NON,OUI,Manomètre de robinet
