id_axe;nom_axe;type_axe;poids_axe_defaut_pct;id_critere;dimension;critere;source_type;source_detail;type_importance;qui_definit_importance;formule_scoring;valeurs_echelle;poids_dans_axe_defaut_pct;donnees_manquantes
1;Espace & configuration intérieure;Scoring principal;20;1.1;Surface;Surface habitable vs. souhait acquéreur;Intrinsèque;CSV champ: Surface Carrez (m²) / Surface SHAB (m²);Important;Acquéreur;min(1 ; surface_bien / surface_souhaitée_acquéreur);m² numérique;40;Score neutre 0.5 — flag Déduit en vue agent
1;Espace & configuration intérieure;Scoring principal;20;1.2;Configuration;Nombre de chambres vs. besoin acquéreur;Intrinsèque;CSV champ: Nombre de chambres;Important;Acquéreur;min(1 ; nb_chambres_bien / nb_chambres_requises);Entier;30;Score neutre 0.5 — flag Déduit
1;Espace & configuration intérieure;Scoring principal;20;1.3;Télétravail;Bureau dédié si télétravail exprimé;Intrinsèque;CSV champ: Dépendances (cellier/buanderie/atelier) + nb pièces principales;Important;Acquéreur;[1.0 si bureau dédié présent / 0.4 si pièce polyvalente / 0.0 si absent] × (nb_jours_télétravail / 5);Oui / Pièce polyvalente / Non;15;Critère ignoré si télétravail non exprimé (poids = 0)
1;Espace & configuration intérieure;Scoring principal;20;1.4;Hobbies;Espaces spécifiques selon hobbies déclarés;Intrinsèque;CSV champs: Cave (m²) / Grenier-Combles aménageables / Garage-Box / Dépendances;Préférentiel;Acquéreur;Présence de l'espace correspondant au hobby exprimé : [1.0 si présent adapté / 0.5 si présent à adapter / 0.0 si absent];Présent adapté / Présent à adapter / Absent;15;Critère ignoré si aucun hobby spécifique exprimé (poids = 0)
1;Espace & configuration intérieure;Scoring principal;20;1.5;Évolutivité;Potentiel d'extension ou pièce supplémentaire;Intrinsèque;CSV champ: Grenier-Combles aménageables;Bonus;Système;[0.2 bonus si grenier aménageable / 0.1 bonus si pièce de service convertible] — plafonné à score_axe1 = 1.0;Oui aménagés / Oui non aménagés / Non;0 (bonus);Score 0.0 — pas de pénalité
2;Localisation & mobilité;Bloquant partiel;25;2.1;Trajet travail;Temps trajet domicile-travail vs. temps max accepté acquéreur;Extrinsèque;Google Maps API / IGN isochrones + lieu_travail_acquéreur;Bloquant si dépassement ×2;Acquéreur;max(0 ; 1 - temps_trajet_réel / temps_max_accepté) — si temps_réel > 2×temps_max → score = 0 → bien exclu;Minutes;40;Si lieu travail non renseigné → critère ignoré (poids 0)
2;Localisation & mobilité;Bloquant partiel;25;2.2;École;Distance et qualité scolaire vs. importance exprimée;Extrinsèque;OSM Overpass API (localisation écoles) + IVAL data.education.gouv.fr (résultats);Important;Acquéreur;f(distance_école_m / distance_max_acquéreur) × pondération_qualité_IVAL;Distance en mètres + score IVAL;25;Critère ignoré si pas d'enfants ou école non mentionnée (poids = 0)
2;Localisation & mobilité;Bloquant partiel;25;2.3;Transports;Accès transports selon mode de déplacement déclaré;Extrinsèque;Géovélo API (vélo) / GTFS SNCF-RATP (TC) / Walk Score API;Important;Acquéreur;Si mode TC : f(distance arrêt + fréquence lignes) — Si vélo : Géovélo score — Si voiture : score_parking disponibilité;Score 0→1 par mode;20;Score neutre 0.5 si mode non déclaré
2;Localisation & mobilité;Bloquant partiel;25;2.4;Services proximité;Commerces / médecin / pharmacie à 500m;Extrinsèque;OSM Overpass API (POI commerces services) + data.ameli.fr (déserts médicaux);Préférentiel;Système;nb_POI_essentiels_500m normalisé par médiane nationale;Nb POI dans rayon 500m;15;Score neutre 0.5 si données OSM absentes pour la zone
2;Localisation & mobilité;Bloquant partiel;25;2.5;Famille proche;Distance aux proches si exprimé comme priorité;Extrinsèque;Google Maps API / coordonnées GPS saisies par acquéreur;Préférentiel;Acquéreur;max(0 ; 1 - distance_km / distance_max_acceptable);Km;0 (inclus dans poids 2.4 si exprimé);Critère ignoré si non exprimé (poids = 0)
3;Budget & viabilité financière;Bloquant strict;20;3.0;FILTRE DUR;Prix bien ≤ budget max acquéreur;Intrinsèque + Acquéreur;Prix affiché bien + budget_max_acquéreur;Bloquant absolu;Système;Si prix_bien > budget_max → score_axe3 = 0 → bien exclu définitivement;€;N/A (filtre binaire);Bien exclu si budget_max non renseigné
3;Budget & viabilité financière;Bloquant strict;20;3.1;Confort prix;Marge entre prix bien et budget max;Intrinsèque + Acquéreur;Prix affiché + budget_max_acquéreur;Important;Système;1 - (prix_bien / budget_max_acquéreur) — plus on est proche du max moins c'est confortable;Ratio 0→1;45;Score 0.5 si budget_max non renseigné
3;Budget & viabilité financière;Bloquant strict;20;3.2;Charges mensuelles;Charges copropriété vs. seuil acceptable acquéreur;Intrinsèque;CSV champ: Charges courantes (€/mois);Important;Acquéreur;max(0 ; 1 - charges_mensuelles / seuil_charges_acceptable_acquéreur);€/mois;25;Score neutre 0.5 si données charges absentes
3;Budget & viabilité financière;Bloquant strict;20;3.3;Travaux estimés;Coût travaux diagnostics vs. budget travaux accepté acquéreur;Intrinsèque;CSV champs: Travaux votés à venir + Diagnostics (amiante/plomb/électricité/gaz) + états STAR;Important;Acquéreur;max(0 ; 1 - travaux_estimés_€ / budget_travaux_max_acquéreur);€ estimés;20;Score 0.5 si aucun diagnostic disponible
3;Budget & viabilité financière;Bloquant strict;20;3.4;Coût énergie annuel;Estimation charges énergétiques annuelles via DPE;Intrinsèque;CSV champ: DPE Consommation (kWh/m²/an) + type énergie principale;Préférentiel;Système;f(dpe_kwh_m2 × surface_bien × prix_kwh_énergie) → coût_annuel_€ → normalisé vs. seuil acceptable;kWh/m²/an → € estimés;10;Score neutre 0.5 si DPE absent
4;Cadre de vie & environnement;Scoring principal;15;4.1;Nuisances sonores;Niveau de bruit Lden vs. tolérance acquéreur;Extrinsèque;CEREMA Cartes bruit stratégiques / Bruitparif (IdF) / CSV champ: Diagnostic bruit PEB;Important;Acquéreur;[Lden < 55 dB = 1.0 / 55-60 = 0.8 / 60-65 = 0.6 / 65-70 = 0.3 / > 70 = 0.0] — Si acquéreur très sensible au bruit → seuil bloquant à 65 dB;dB Lden;30;Score neutre 0.5 si données bruit absentes pour l'adresse
4;Cadre de vie & environnement;Scoring principal;15;4.2;Sécurité locale;Taux criminalité commune vs. moyenne nationale;Extrinsèque;Ministère Intérieur SSMSI — data.gouv.fr bases-statistiques-communale;Important;Acquéreur;1 - (taux_criminalité_commune / taux_criminalité_médiane_nationale) normalisé 0→1;Taux pour 1000 habitants;25;Score neutre 0.5 si données criminalité absentes
4;Cadre de vie & environnement;Scoring principal;15;4.3;Standing quartier;Revenus médians IRIS vs. standing souhaité acquéreur;Extrinsèque;INSEE Filosofi — données IRIS revenus médians;Préférentiel;Acquéreur;Adéquation revenu médian IRIS / revenu médian souhaité acquéreur — normalisé 0→1;€/UC médian IRIS;20;Score neutre 0.5 si données Filosofi absentes pour l'IRIS
4;Cadre de vie & environnement;Scoring principal;15;4.4;Qualité de l'air;Indice ATMO moyen annuel vs. sensibilité acquéreur;Extrinsèque;Atmo France API + réseau AASQA régional;Préférentiel;Acquéreur;[Bon = 1.0 / Moyen = 0.7 / Dégradé = 0.4 / Mauvais = 0.1];Indice ATMO 1→6;15;Score neutre 0.5 si données ATMO absentes
4;Cadre de vie & environnement;Scoring principal;15;4.5;Risques naturels & technologiques;Exposition risques PPRI / Seveso / radon vs. tolérance acquéreur;Extrinsèque;Géorisques API (PPRI + Seveso + radon + cavités) + CSV champ: ERP;Préférentiel;Acquéreur;Score composite risques : chaque risque présent = pénalité pondérée — si acquéreur sensible + risque élevé → bloquant;Présent / Absent par type de risque;10;Score 0.5 si ERP non fourni
5;Extérieur & autonomie alimentaire;Scoring principal;10;5.1;Présence extérieur;Type d'espace extérieur vs. besoin exprimé acquéreur;Intrinsèque;CSV champs: Jardin privatif (m²) / Terrasse (m²) / Balcon (m²) / Cour;Bloquant si indispensable;Acquéreur;[Jardin = 1.0 / Terrasse ≥ 15m² = 0.7 / Balcon = 0.4 / Aucun = 0.0] — Si acquéreur "indispensable" et aucun extérieur → bien exclu;Type présence;40;Score 0.0 si données absentes et acquéreur a exprimé besoin extérieur
5;Extérieur & autonomie alimentaire;Scoring principal;10;5.2;Surface extérieur;Surface totale extérieur vs. surface souhaitée acquéreur;Intrinsèque;CSV champs: Jardin privatif (m²) + Terrasse (m²) + Balcon (m²);Important;Acquéreur;min(1 ; surface_extérieur_totale / surface_extérieur_souhaitée);m² cumulé;35;Score 0.5 si surface non renseignée mais type présent
5;Extérieur & autonomie alimentaire;Scoring principal;10;5.3;Potentiel potager;Ensoleillement × surface jardin vs. ambition autonomie alimentaire;Intrinsèque + Extrinsèque;CSV champs: Jardin privatif (m²) + Orientation principale — PVGIS JRC (kWh/m²/an);Préférentiel;Acquéreur;f(surface_jardin × ensoleillement_PVGIS) normalisé — score = 0.0 si aucun jardin;kWh/m²/an × m²;15;Critère ignoré si autonomie alimentaire non exprimée (poids = 0)
5;Extérieur & autonomie alimentaire;Scoring principal;10;5.4;Récupération eau;Équipement récupération eau de pluie présent;Intrinsèque;CSV champ: Récupération eau de pluie (Oui/Non);Bonus;Acquéreur;[1.0 si présent / 0.0 si absent] — contribue seulement si autonomie alimentaire exprimée;Oui / Non;10;Score 0.0 — pas de pénalité si absent
5;Extérieur & autonomie alimentaire;Scoring principal;10;5.5;Jardin partagé proximité;Présence jardin partagé à moins de 500m si pas de jardin privatif;Extrinsèque;OSM Overpass API (jardins partagés POI);Préférentiel;Acquéreur;[Présent à < 500m = 0.7 / 500m-1km = 0.4 / Absent = 0.0] — uniquement si acquéreur a accepté cette alternative;Distance en mètres;0 (bonus alternatif);Score 0.0 si données OSM absentes
6;Sobriété & performance énergétique;Différenciant;5;6.1;DPE étiquette actuelle;Classe DPE bien vs. exigence acquéreur;Intrinsèque;CSV champ: DPE Étiquette énergie (A→G) — version post-juillet 2021;Bloquant si F/G + acquéreur sensible;Acquéreur;[A = 1.0 / B = 0.85 / C = 0.70 / D = 0.50 / E = 0.30 / F = 0.15 / G = 0.0] — Si acquéreur DPE bloquant et étiquette F ou G → bien exclu;A B C D E F G;50;Score neutre 0.5 si DPE absent ou antérieur à 2021
6;Sobriété & performance énergétique;Différenciant;5;6.2;DPE potentiel post-travaux;Étiquette DPE atteignable après rénovation;Intrinsèque;CSV champ: Étiquette DPE atteignable post-travaux + Audit énergétique réalisé;Préférentiel;Acquéreur;score_dpe_atteignable × 0.7 — uniquement si acquéreur ouvert aux travaux de rénovation énergétique;A B C D E;30;Critère ignoré si acquéreur non ouvert aux travaux (poids = 0)
6;Sobriété & performance énergétique;Différenciant;5;6.3;Équipements sobriété;Présence équipements énergétiques performants;Intrinsèque + Extrinsèque;CSV champs: Panneaux solaires PV (kWc) / Batterie stockage (kWh) / PAC COP & SCOP / VMC type / Borne VE (kW) — PVGIS pour potentiel non installé;Bonus;Acquéreur;Somme pondérée : PV installés +0.30 / Batterie +0.20 / PAC COP>4 +0.20 / VMC double flux +0.15 / Borne VE +0.15 — plafonné à 1.0;Présence par équipement;20;Score 0.0 — pas de pénalité. Critère ignoré si autonomie énergétique non exprimée
7;Modes de vie & usages sociaux;Différenciant;5;7.1;Convivialité intérieure;Configuration cuisine + espace séjour vs. style vie acquéreur;Intrinsèque;CSV champs: Configuration cuisine (ouverte/semi-ouverte/fermée) + Surface cuisine (m²) + Nombre de pièces principales;Préférentiel;Acquéreur;[Cuisine ouverte = 1.0 / Semi-ouverte = 0.7 / Fermée = 0.3] × pondération_réceptions_acquéreur + f(surface_cuisine / surface_cuisine_idéale_acquéreur);Type + m²;50;Score neutre 0.5 si configuration non renseignée
7;Modes de vie & usages sociaux;Différenciant;5;7.2;Animation quartier;Densité commerces / restaurants / culture à 500m;Extrinsèque;OSM Overpass API (commerces + restaurants + culture + sport) + Google Places API;Préférentiel;Acquéreur;nb_POI_animation_500m normalisé par médiane nationale — pondéré selon préférence acquéreur (animé vs. calme : score inversé si calme recherché);Nb POI;30;Score neutre 0.5 si données OSM absentes
7;Modes de vie & usages sociaux;Différenciant;5;7.3;Dynamisme urbain;Marchabilité et vitalité du quartier;Extrinsèque;Walk Score API + INSEE démographie (croissance population commune);Préférentiel;Système;Walk Score normalisé 0→1 + pondération croissance démographique positive;Score 0→100 normalisé;20;Score neutre 0.5 si Walk Score non disponible (hors zone couverte)
